object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
679373,Mustard Garden Print,1700–1750,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",25.6 x 32.2 cm (10 1/16 x 12 11/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.123,,,Purchase from the J. H. Wade Fund,2025.123,2026-05-11
679376,Vase with Peony and Iris,first half of the 1700s,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",36 x 26 cm (14 3/16 x 10 1/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.126,,,Purchase from the J. H. Wade Fund,2025.126,2026-05-11
685894,May You Soon Bear Noble Sons,1700s,Print,woodblock print,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Overall: 185 x 64 cm (72 13/16 x 25 3/16 in.); Paper: 104.5 x 54.6 cm (41 1/8 x 21 1/2 in.); Print only: 95 x 53.5 cm (37 3/8 x 21 1/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.129,,,Purchase from the J. H. Wade Fund,2025.129,2026-05-11
678453,Beautiful Autumn and Winter Landscapes,1736–95,Print,Hanging scroll; woodblock print; ink on paper,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.",Print only: 93.3 x 53.5 cm (36 3/4 x 21 1/16 in.); Overall with mount: 182.2 x 64 cm (71 3/4 x 25 3/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.19,,,Purchase from the J. H. Wade Fund,2025.19,2026-05-11
703303,Zhang Xian Brings Sons,1644–1911,Print,Polychrome woodblock print; ink and color on paper,"The main figure depicts Zhang Xian, a Chinese god known as the protector of male children. He holds a bow and arrow to shoot the “Heavenly Dog” in the upper right corner, which causes unfortunate eclipses.",,The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.212,,,Gift of Christer von der Burg,2025.212,2026-05-11
678485,Scenic View of Pavilions by a Lake,1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.",Print only: 88.2 x 49.7 cm (34 3/4 x 19 9/16 in.); Overall: 165.2 x 65.1 cm (65 1/16 x 25 5/8 in.); with knobs: 165.2 x 72.2 cm (65 1/16 x 28 7/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.22,,,Purchase from the J. H. Wade Fund,2025.22,2026-05-11
678656,The Top Scholar Returns Home,1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.",Print only: 52.7 x 75.3 cm (20 3/4 x 29 5/8 in.); Overall: 144.9 x 91.2 cm (57 1/16 x 35 7/8 in.); with knobs: 144.9 x 98.1 cm (57 1/16 x 38 5/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.25,,,Purchase from the J. H. Wade Fund,2025.25,2026-05-11
678657,Portraits of the Outlaws of the Marsh,1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"Woodblock printing in color reached a height in China in the 1600s to 1700s. The prints were executed by means of sets of separate blocks, each carved to print a different color.",Print only: 60.1 x 101.7 cm (23 11/16 x 40 1/16 in.); Overall: 148 x 110.5 cm (58 1/4 x 43 1/2 in.); with knobs: 148 x 116.2 cm (58 1/4 x 45 3/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.26,,,Purchase from the J. H. Wade Fund,2025.26,2026-05-11
679036,Mother with Sons Playing Music,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 96.8 x 50.8 cm (38 1/8 x 20 in.); With mount: 109.5 x 57.5 cm (43 1/8 x 22 5/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.36,,,Purchase from the J. H. Wade Fund,2025.36,2026-05-11
679056,Zhang Xian Shoots the Heavenly Dog,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 49.5 x 26.6 cm (19 1/2 x 10 1/2 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.41,,,Purchase from the J. H. Wade Fund,2025.41,2026-05-11
